category,year,2-at-a-time,afterthought-heel,andean,aran,bavarian,bias,bobble-or-popcorn,bottom-up,brioche-tuck,buttonholes,cables,captioned-video,chart,chevron,color-blind-accessible,corrugated-ribbing,danish,doubleknit,dropped-stitches,dutch-heel,elastic,entrelac,estonian,eyelets,fairisle,faroese,felted,finnish,freeform,guernsey,gusset,heel-flap,icelandic,icord,illusion,in-the-round,Intarsia,irish,kitchener,lace,latvian,low-vision,machine-instructions,mesh,modular,moebius,mosaic,motifs,norwegian,noshaping,one-piece,orenburg,other-colorwork,other-heel,other-toe,pattern-recipe,phototutorial,provisional,reversible,ribbed,ripple,sami,schematic,screen-reader,seamed,seamed-sock,seamless,selvedge,shaped-arches,Shetland,short-row-heel,short-row-toe,short-rows,sideways,slipped-stitches,smocked,star-toe,start-in-middle,stranded,stripes-colorwork,swedish,textured,three-needle-bind,thrums,toe-up,top-cuff-down,top-down,turkish,twined,twisted-stitches,video-tutorial,wide-toe,worked-flat,written-pattern
Colorwork,2013,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,1,,46,,,,,,,,,,22,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,270,187,,,,,,,,,,,,,,
Colorwork,2014,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,1,,40,,,,,,,,,,19,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,331,231,,,,,,,,,,,,,,
Colorwork,2015,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,21,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,353,242,,,,,,,,,,,,,,
Colorwork,2016,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,27,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,341,316,,,,,,,,,,,,,,
Colorwork,2017,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,3,,48,,,,,,,,,,45,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,518,350,,,,,,,,,,,,,,
Colorwork,2018,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,62,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,538,389,,,,,,,,,,,,,,
Colorwork,2019,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,1,,28,,,,,,,,,,96,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,612,395,,,,,,,,,,,,,,
Colorwork,2020,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,2,,33,,,,,,,,,,70,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,775,471,,,,,,,,,,,,,,
Colorwork,2021,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,1,,43,,,,,,,,,,99,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,812,611,,,,,,,,,,,,,,
Colorwork,2022,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,1,,33,,,,,,,,,,106,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,947,555,,,,,,,,,,,,,,
