category,year,tags,clean_name,tag_count,total_tag
Colorwork,2013,Intarsia,Intarsia,46,401
Colorwork,2013,corrugated-ribbing,Corrugated ribbing,21,233
Colorwork,2013,mosaic,Mosaic,22,668
Colorwork,2013,other-colorwork,Other colorwork,36,747
Colorwork,2013,stranded,Stranded,270,6380
Colorwork,2013,stripes-colorwork,Stripes / Colorwork,187,4287
Colorwork,2014,Intarsia,Intarsia,40,401
Colorwork,2014,corrugated-ribbing,Corrugated ribbing,30,233
Colorwork,2014,mosaic,Mosaic,19,668
Colorwork,2014,other-colorwork,Other colorwork,50,747
Colorwork,2014,stranded,Stranded,331,6380
Colorwork,2014,stripes-colorwork,Stripes / Colorwork,231,4287
Colorwork,2015,Intarsia,Intarsia,26,401
Colorwork,2015,corrugated-ribbing,Corrugated ribbing,27,233
Colorwork,2015,mosaic,Mosaic,21,668
Colorwork,2015,other-colorwork,Other colorwork,41,747
Colorwork,2015,stranded,Stranded,353,6380
Colorwork,2015,stripes-colorwork,Stripes / Colorwork,242,4287
Colorwork,2016,Intarsia,Intarsia,23,401
Colorwork,2016,corrugated-ribbing,Corrugated ribbing,18,233
Colorwork,2016,mosaic,Mosaic,27,668
Colorwork,2016,other-colorwork,Other colorwork,46,747
Colorwork,2016,stranded,Stranded,341,6380
Colorwork,2016,stripes-colorwork,Stripes / Colorwork,316,4287
Colorwork,2017,Intarsia,Intarsia,48,401
Colorwork,2017,corrugated-ribbing,Corrugated ribbing,28,233
Colorwork,2017,mosaic,Mosaic,45,668
Colorwork,2017,other-colorwork,Other colorwork,51,747
Colorwork,2017,stranded,Stranded,518,6380
Colorwork,2017,stripes-colorwork,Stripes / Colorwork,350,4287
Colorwork,2018,Intarsia,Intarsia,41,401
Colorwork,2018,corrugated-ribbing,Corrugated ribbing,16,233
Colorwork,2018,mosaic,Mosaic,62,668
Colorwork,2018,other-colorwork,Other colorwork,73,747
Colorwork,2018,stranded,Stranded,538,6380
Colorwork,2018,stripes-colorwork,Stripes / Colorwork,389,4287
Colorwork,2019,Intarsia,Intarsia,28,401
Colorwork,2019,corrugated-ribbing,Corrugated ribbing,17,233
Colorwork,2019,mosaic,Mosaic,96,668
Colorwork,2019,other-colorwork,Other colorwork,92,747
Colorwork,2019,stranded,Stranded,612,6380
Colorwork,2019,stripes-colorwork,Stripes / Colorwork,395,4287
Colorwork,2020,Intarsia,Intarsia,33,401
Colorwork,2020,corrugated-ribbing,Corrugated ribbing,16,233
Colorwork,2020,mosaic,Mosaic,70,668
Colorwork,2020,other-colorwork,Other colorwork,137,747
Colorwork,2020,stranded,Stranded,775,6380
Colorwork,2020,stripes-colorwork,Stripes / Colorwork,471,4287
Colorwork,2021,Intarsia,Intarsia,43,401
Colorwork,2021,corrugated-ribbing,Corrugated ribbing,16,233
Colorwork,2021,mosaic,Mosaic,99,668
Colorwork,2021,other-colorwork,Other colorwork,77,747
Colorwork,2021,stranded,Stranded,812,6380
Colorwork,2021,stripes-colorwork,Stripes / Colorwork,611,4287
Colorwork,2022,Intarsia,Intarsia,33,401
Colorwork,2022,corrugated-ribbing,Corrugated ribbing,27,233
Colorwork,2022,mosaic,Mosaic,106,668
Colorwork,2022,other-colorwork,Other colorwork,60,747
Colorwork,2022,stranded,Stranded,947,6380
Colorwork,2022,stripes-colorwork,Stripes / Colorwork,555,4287
Colorwork,2023,Intarsia,Intarsia,40,401
Colorwork,2023,corrugated-ribbing,Corrugated ribbing,17,233
Colorwork,2023,mosaic,Mosaic,101,668
Colorwork,2023,other-colorwork,Other colorwork,84,747
Colorwork,2023,stranded,Stranded,883,6380
Colorwork,2023,stripes-colorwork,Stripes / Colorwork,540,4287
Fabric / Stitches,2013,bobble-or-popcorn,Bobble / popcorn,26,579
