"","permalink","difficulty_count","difficulty_average","tags","category","clean_name","favorites_count","yarn_weight_description","name","rating_average","rating_count","languages-name","generally_available","tag_freq","order_no"
"1","hermiones-everyday-socks","8988",2.41733422340899,"top-cuff-down","Sock Method","Top cuff down",83612,"Fingering (14 wpi)","Hermione's Everyday Socks",4.66062459052195,"9158",<chr>,"2009/07/09 11:36:45 -0400",18,1
"2","hermiones-everyday-socks","8988",2.41733422340899,"heel-flap","Heel","Heel flap",83612,"Fingering (14 wpi)","Hermione's Everyday Socks",4.66062459052195,"9158",<chr>,"2009/07/09 11:36:45 -0400",15,1
"3","hermiones-everyday-socks","8988",2.41733422340899,"seamless","Construction","Seamless",83612,"Fingering (14 wpi)","Hermione's Everyday Socks",4.66062459052195,"9158",<chr>,"2009/07/09 11:36:45 -0400",5,1
"4","hermiones-everyday-socks","8988",2.41733422340899,"textured","Fabric / Stitches","Textured",83612,"Fingering (14 wpi)","Hermione's Everyday Socks",4.66062459052195,"9158",<chr>,"2009/07/09 11:36:45 -0400",8,1
"5","hermiones-everyday-socks","8988",2.41733422340899,"other-toe","Toe","Other toe",83612,"Fingering (14 wpi)","Hermione's Everyday Socks",4.66062459052195,"9158",<chr>,"2009/07/09 11:36:45 -0400",2,1
"6","hermiones-everyday-socks","8988",2.41733422340899,"wide-toe","Toe","Wide toe",83612,"Fingering (14 wpi)","Hermione's Everyday Socks",4.66062459052195,"9158",<chr>,"2009/07/09 11:36:45 -0400",3,1
"7","broken-seed-stitch-socks","1769",2.34708875070661,"top-cuff-down","Sock Method","Top cuff down",43685,"Fingering (14 wpi)","Broken Seed Stitch Socks",4.60971524288107,"1791",<chr>,"2010/10/01 00:00:00 -0400",18,2
"8","broken-seed-stitch-socks","1769",2.34708875070661,"textured","Fabric / Stitches","Textured",43685,"Fingering (14 wpi)","Broken Seed Stitch Socks",4.60971524288107,"1791",<chr>,"2010/10/01 00:00:00 -0400",8,2
"9","broken-seed-stitch-socks","1769",2.34708875070661,"stripes-colorwork","Colorwork","Stripes / Colorwork",43685,"Fingering (14 wpi)","Broken Seed Stitch Socks",4.60971524288107,"1791",<chr>,"2010/10/01 00:00:00 -0400",2,2
"10","rye-4","2364",2.28807106598985,"top-cuff-down","Sock Method","Top cuff down",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",18,3
"11","rye-4","2364",2.28807106598985,"in-the-round","Construction","Worked in the round",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",13,3
"12","rye-4","2364",2.28807106598985,"heel-flap","Heel","Heel flap",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",15,3
"13","rye-4","2364",2.28807106598985,"ribbed","Fabric / Stitches","Ribbed / ribbing",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",7,3
"14","rye-4","2364",2.28807106598985,"seamless","Construction","Seamless",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",5,3
"15","rye-4","2364",2.28807106598985,"kitchener","Construction","Kitchener / Grafting",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",9,3
"16","rye-4","2364",2.28807106598985,"textured","Fabric / Stitches","Textured",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",8,3
"17","rye-4","2364",2.28807106598985,"gusset","Construction","Gusset",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",7,3
"18","rye-4","2364",2.28807106598985,"short-rows","Construction","Short rows",40131,"Worsted (9 wpi)","Rye",4.72689768976898,"2424",<chr>,"2013/09/01 00:00:00 -0400",4,3
"19","kitty-ankle-socks","428",3.21261682242991,"ribbed","Fabric / Stitches","Ribbed / ribbing",33753,"Fingering (14 wpi)","Kitty Ankle Socks",4.41149425287356,"435",<chr>,"2016/12/30 17:18:04 -0500",7,4
"20","kitty-ankle-socks","428",3.21261682242991,"toe-up","Sock Method","Toe up",33753,"Fingering (14 wpi)","Kitty Ankle Socks",4.41149425287356,"435",<chr>,"2016/12/30 17:18:04 -0500",2,4
"21","kitty-ankle-socks","428",3.21261682242991,"short-row-heel","Heel","Short row heel",33753,"Fingering (14 wpi)","Kitty Ankle Socks",4.41149425287356,"435",<chr>,"2016/12/30 17:18:04 -0500",2,4
"22","kitty-ankle-socks","428",3.21261682242991,"short-rows","Construction","Short rows",33753,"Fingering (14 wpi)","Kitty Ankle Socks",4.41149425287356,"435",<chr>,"2016/12/30 17:18:04 -0500",4,4
"23","kitty-ankle-socks","428",3.21261682242991,"Intarsia","Colorwork","Intarsia",33753,"Fingering (14 wpi)","Kitty Ankle Socks",4.41149425287356,"435",<chr>,"2016/12/30 17:18:04 -0500",1,4
"24","simple-skyp-socks","2953",2.35489332881815,"top-cuff-down","Sock Method","Top cuff down",33096,"Sport (12 wpi)","Simple Skyp Socks",4.65657584931046,"2973",<chr>,"2009/02/01 00:00:00 -0500",18,5
"25","simple-skyp-socks","2953",2.35489332881815,"in-the-round","Construction","Worked in the round",33096,"Sport (12 wpi)","Simple Skyp Socks",4.65657584931046,"2973",<chr>,"2009/02/01 00:00:00 -0500",13,5
"26","simple-skyp-socks","2953",2.35489332881815,"heel-flap","Heel","Heel flap",33096,"Sport (12 wpi)","Simple Skyp Socks",4.65657584931046,"2973",<chr>,"2009/02/01 00:00:00 -0500",15,5
"27","simple-skyp-socks","2953",2.35489332881815,"ribbed","Fabric / Stitches","Ribbed / ribbing",33096,"Sport (12 wpi)","Simple Skyp Socks",4.65657584931046,"2973",<chr>,"2009/02/01 00:00:00 -0500",7,5
"28","simple-skyp-socks","2953",2.35489332881815,"textured","Fabric / Stitches","Textured",33096,"Sport (12 wpi)","Simple Skyp Socks",4.65657584931046,"2973",<chr>,"2009/02/01 00:00:00 -0500",8,5
"29","simple-skyp-socks","2953",2.35489332881815,"wide-toe","Toe","Wide toe",33096,"Sport (12 wpi)","Simple Skyp Socks",4.65657584931046,"2973",<chr>,"2009/02/01 00:00:00 -0500",3,5
"30","vanilla-latte-socks","3671",2.2111141378371,"top-cuff-down","Sock Method","Top cuff down",30578,"Fingering (14 wpi)","Vanilla Latte Socks",4.68955538016311,"3801",<chr>,"2012/04/21 16:39:49 -0400",18,6
"31","vanilla-latte-socks","3671",2.2111141378371,"heel-flap","Heel","Heel flap",30578,"Fingering (14 wpi)","Vanilla Latte Socks",4.68955538016311,"3801",<chr>,"2012/04/21 16:39:49 -0400",15,6
"32","rose-city-rollers","2804",2.20542082738944,"top-cuff-down","Sock Method","Top cuff down",30309,"Fingering (14 wpi)","Rose City Rollers",4.80694070080863,"2968",<chr>,"2015/05/16 13:27:58 -0400",18,7
"33","rose-city-rollers","2804",2.20542082738944,"in-the-round","Construction","Worked in the round",30309,"Fingering (14 wpi)","Rose City Rollers",4.80694070080863,"2968",<chr>,"2015/05/16 13:27:58 -0400",13,7
"34","rose-city-rollers","2804",2.20542082738944,"heel-flap","Heel","Heel flap",30309,"Fingering (14 wpi)","Rose City Rollers",4.80694070080863,"2968",<chr>,"2015/05/16 13:27:58 -0400",15,7
